trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,10,13.224800269181753,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.5515625658678298}",30,10,-74.21223944065439,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,24,9.292957004242963,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.5460744266397094}",20,6,6.329455334537899,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,8,-75.8479804953981,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.5406408953093166}",30,17,11.511600409823105,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-42.6272207227936,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.5352614285189903}",20,14,11.619055825996641,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,0,-95.98926189957525,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.5299354883175685}",20,9,-30.006864839956364,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,14,2.709141706972851,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.5246625421065929}",25,14,-30.396148786925647,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-44.69067576352757,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.5194420625870482}",20,0,-78.81444248221464,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.5168513344916993}",25,0,-8.263246550138586,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
